Time(min),Mean,Standard Deviation,1_1,1_10,1_11,1_12,1_13,1_14,1_15,1_16,1_17,1_18,1_19,1_2,1_20,1_21,1_22,1_23,1_24,1_25,1_26,1_27,1_28,1_3,1_30,1_31,1_32,1_33,1_34,1_4,1_5,1_6,1_7,1_8,1_9,2_1,2_10,2_11,2_12,2_13,2_14,2_16,2_17,2_18,2_19,2_2,2_20,2_21,2_22,2_23,2_24,2_25,2_26,2_27,2_28,2_29,2_3,2_30,2_31,2_32,2_33,2_4,2_5,2_6,2_7,2_8,2_9
225,8.146710085,0.315716009,,,,,8.109301934,7.652662994,7.548549985,7.783867051,,,,,8.315034952,,8.357536998,,,,8.264928051,8.254509512,,,7.745368766,,8.141797702,,8.163679226,,,,,7.944286411,7.852916361,,,,8.072293399,8.083883511,8.514794703,,,7.756317377,8.091140648,8.138803761,8.557198405,,8.403584688,,,,,,8.910230549,8.389171091,7.921755736,8.670130069,,,8.220286922,7.88626131,,8.495624553,8.254868001,7.900517887,
230,8.105992144,0.322474815,,,,,7.814603633,7.679181463,7.671850049,7.767258008,,,,,8.278975426,,,,,,8.109533489,8.119871278,,,7.828738485,,8.390468562,,8.180419348,,,,,7.823939741,7.863299732,,,,7.97010904,7.903606206,8.354674239,,,7.809196627,8.356789638,8.037590185,8.462738394,,8.44476746,,,8.260187527,,,8.824536611,8.858882992,7.749532551,8.447046843,,,8.217505587,7.941469589,,,8.118149379,7.788850097,
235,8.144002632,0.290807634,,,,,7.857628704,7.732359765,7.715661277,,,,,,8.308299329,7.976259038,8.370260965,,,,8.111457415,7.985521103,,,8.039210883,,8.030657751,,8.171340801,,,,,7.766849949,8.14822291,,,8.16375337,8.126964536,8.150180172,8.339145701,7.853949409,7.953067717,7.828118483,8.428535477,8.13962432,8.307935902,,8.281071964,,,8.261740974,,,8.581100425,9.179194097,7.765345443,8.472299955,,,8.118302205,8.029539679,,,8.215657226,8.342829901,
240,8.121115258,0.32728521,,,,,7.816031244,7.645910738,7.650845989,,,,,,8.212165752,,8.292536971,,,,8.015196443,7.911413356,,,7.990613777,,8.087333523,,8.128201891,,,,,7.72081764,8.18280469,,,,,8.123503499,8.150431727,7.865898102,7.819152199,7.772972176,8.46959923,7.905968246,8.45729097,,8.465985508,,,8.607348049,,,8.84989634,8.741093313,7.683110095,8.546341691,,,8.227808518,7.875707569,,,8.18084414,8.236634348,
245,8.084178008,0.347929328,,,,,,7.722457651,7.6272863,,,,,,,8.066096276,8.241454545,,,,8.322588207,7.88381317,,,8.015522132,,8.046967468,,8.022306626,,,,,7.584924017,,,,,,8.217424957,8.405813006,7.696154614,7.703201836,7.81825143,,7.940336235,,,,,,8.573333291,,,8.923872695,8.708055843,7.730567772,8.487748716,,,,7.943067976,,,8.114388023,8.263944111,8.044873315
250,8.124044313,0.384904344,,,,,,7.82619609,7.758229361,,,,,,,7.95049461,8.01228719,,,,,7.829297947,,,7.965974462,,8.082859982,,7.894861371,,,,,7.879160595,,,,8.253220872,,,8.347526282,7.64305737,7.687152518,7.785189884,8.538096921,8.109143153,8.805557942,,,,,8.083225869,,,8.666459457,9.043497121,7.753346243,8.819414057,,,,8.030838973,,,,8.325897677,8.010121881
255,8.142478164,0.375698224,,,,,,7.793144086,7.653352625,,,,,,,8.239847396,7.946359209,,,,,8.086353943,,,7.99484981,,8.029962868,,7.957973927,,,,,,,8.404395803,8.034697026,8.020817106,,,,7.743921712,7.858643641,7.574450308,8.541365496,8.023593881,8.500538647,,,,,8.001461094,8.490428429,8.195924771,9.047962578,9.060836138,7.895913406,8.620960598,,,,7.811486698,,,,8.267347176,8.050322049
260,8.158916687,0.429125937,,,,,,7.784648727,7.580018062,,,,,,,8.087631803,8.122351138,,,,,8.022584629,,,7.894710945,,7.878504678,,8.240929631,,,,,,,8.661736499,7.947462587,8.444225847,,,,7.790875138,7.870732378,7.571905685,8.570283711,8.082390006,8.493551429,,,,,8.079491301,8.220807535,8.212061057,9.014904218,9.419928997,7.818252945,8.791445266,,7.848359996,,7.891226802,,,,8.205341059,7.903305169
265,8.099194691,0.379279974,,,,,,7.699359909,7.527286156,,,,,,,,8.143403005,,,,,8.139259421,,,,,7.758267657,,8.12924429,,,,,,,8.539270033,7.967052217,,,,,7.840495156,7.930336266,7.572042236,8.443705927,8.145598791,8.303324402,,,,,8.203964963,8.114550896,8.03217873,8.888949526,9.085205569,7.866133351,8.583776319,7.80280531,7.737082105,,7.934368563,,,,8.313404304,7.877996864
270,8.043849723,0.337069817,,,,,,7.748214348,7.514346139,,,,,,,,,,,,,8.374832268,,,,,7.838386763,,8.015664755,,,,,,,8.146764807,7.830226106,,,,,7.832578576,7.887599496,7.626437258,8.187903757,8.167256518,8.339840846,,8.213261366,,,8.05046331,7.844733279,7.856564478,8.788964741,8.689700943,7.801680425,8.732275593,7.756215613,7.693817862,,8.1703738,,,,8.19736208,7.834627656
275,8.054917821,0.295117179,,,,,8.287225417,7.744069757,7.685722307,,,,,,,,,,,,,8.180531776,,,,,8.185443386,,7.996890764,,,,,,,8.001146677,7.909595363,,,,,7.826042452,7.848087785,7.800507475,8.196821581,8.130196051,8.247130565,,8.339950307,,,8.058231107,7.888002723,7.878785184,8.664296397,8.413457224,7.684267881,8.888017275,7.774939836,7.794815188,,8.020933536,,,,8.210478832,7.827194316
280,8.082059774,0.277902633,,,,,8.005527895,7.741277339,7.717459897,,,,,,,,,,,,,8.19580205,,,,,8.088287078,,8.154902589,,,,,,,8.050936919,7.918257345,,,,,7.737586786,7.879545449,7.863653337,8.042668411,8.141073647,8.14989574,,8.413697568,,,8.121496902,8.424902331,8.211242831,8.480857061,8.420275476,7.904731236,8.963171038,7.9047623,7.942388544,,7.954565363,,,,8.004052735,7.782596018
285,8.040387829,0.3384936,,,,,,7.767054598,7.682203954,,,,,,,,,,,,,8.091884553,,,,,7.972762784,,8.139550348,,,,,,,8.0700484,7.979525515,,,,,7.538729791,7.548902984,7.767055346,8.016068665,8.159229282,8.363443831,7.689020706,8.415421745,,,8.152309173,8.332170198,8.060461307,8.313847418,8.752623191,7.941524882,9.003210458,7.875326863,7.906668037,,7.899439029,,,,7.947258364,7.704729975
290,8.05781537,0.359166867,,,,,,,,,,,,,,,,,,,,7.90430911,,,,,8.133264134,,7.963262398,,,,,,,8.040394587,,,,,,7.518099384,7.487668088,7.665668326,8.25822162,8.077178177,8.230889994,7.604404148,8.350510425,,,8.247193072,8.326174342,8.223619915,8.423282972,8.72564405,7.805977446,8.952091534,7.99079174,7.939688553,,8.035420086,,,,7.743466446,7.740348335
295,7.930767251,0.232893789,,,,,,,,,,,,,,,,,,,,7.899830981,,,,,8.097504278,,,,,,,,,7.923195825,7.702694778,,,,,7.623951019,7.547112207,7.629780083,8.265895761,8.022847481,8.296647974,7.788085761,8.177478815,,,8.3156728,8.0238427,8.048558096,,,7.762121692,,8.021177668,8.028635046,,7.989492431,,,,7.672809803,7.708777063
300,8.025046,0.33884377,,,,,,7.763784461,7.645863969,,,,,,,,,,,,,7.753213574,,,,,7.774053202,,,,,,,,,8.151045231,7.547160883,,,,,7.878202436,7.898752318,7.801278882,8.328712064,7.910381875,8.536028784,8.106946793,8.452244118,,,8.214587635,7.882957558,8.032633328,,8.757872035,7.935193758,8.876025529,7.89464268,7.99106536,,8.025196989,,,,7.678085442,7.790221103
305,7.978417529,0.286350432,,,,,,7.786302241,7.716817781,,,,,,,,,,,,,7.697406132,,,,,7.741373103,,,,,,,,,7.995334616,7.643144169,,,,,7.94300779,8.003438706,7.740907321,8.577035688,7.828872541,8.440126651,7.995448406,8.298896905,,,8.20752206,7.881653567,8.098758776,,,7.741597214,8.710292593,8.075165764,7.83195741,,7.955404722,,,,7.830142879,7.741413673
310,7.974905211,0.311551929,,,,,,7.693872647,7.65162816,,,,,,,,,,,,,7.710274052,,,,,7.762276473,,,,,,,,,8.156370779,7.871855995,,,,,7.706064556,7.767658611,7.67298828,8.337393997,7.732014387,8.350566917,7.993743749,,,,8.329844142,8.327732814,8.049504947,,,7.749653908,8.771594346,7.933696355,7.729990968,,,,,,8.334195958,7.814992594
315,7.992354068,0.336154101,,,,,,7.753173496,7.698673746,,,,,,,,,,,,,7.840206655,,,,,7.869828998,,,,,,,,,8.215171453,8.038506467,,,,,7.647935801,7.81640122,7.592257056,8.565007434,,8.422463448,7.911017539,,,,8.186330661,8.408608259,8.088243196,,,7.722464954,8.830973021,7.877580611,7.589721172,,,,,,7.911872114,7.85299812
320,7.968401109,0.293835241,,,,,,7.666872557,7.683684906,,,,,,,,,,,,,,,,,,7.946341477,,,,,,,,,8.202734533,7.836614462,,,,,7.565178516,7.793152726,7.736618845,8.420079264,,8.286922262,7.951945737,,7.7054127,,8.350103856,8.416407771,8.050201765,,,7.763623799,8.490529612,7.778318935,7.724299687,,,,,,8.20309048,7.764289395
325,7.97484451,0.272950301,,,,,,7.735602862,7.720517131,,,,,,,,,,,,,,,,,,,,,,,,,,,8.139612666,7.84148908,,,,,7.527224796,7.805485833,7.908527668,8.444332681,,8.289746304,7.904102764,,7.812077375,,8.43832919,8.283020154,8.030635306,,,7.817232835,8.36935324,7.721022001,7.675149321,,,,,,8.097430152,7.935998839
330,7.948385064,0.259340084,,,,,,7.799712078,7.623760477,,,,,,,,,,,,,,,,,,,,,,,,,,,8.132394747,7.874177433,,,,,7.767334269,7.653320051,7.866368463,8.226548478,,8.436750521,7.827590887,,7.97219492,8.178009719,8.521817868,8.066258554,8.014804288,,,7.681327996,,7.700197473,7.63417524,,,,,,8.089008321,7.901949503
335,7.877697853,0.217268962,,,,,,7.662770733,7.65845839,,,,,,,,,,,,,,,,,,,,,,,,,,,8.111579594,7.695365922,,,,,7.935004561,7.539184696,7.748121571,8.223535046,,,7.762420308,,7.891324552,8.023584144,8.251604265,7.958860661,8.126217121,,,7.606805532,,7.769433021,7.700596722,,,,,,8.108365821,7.90302655
340,7.874359692,0.239186158,,,,,,7.664336098,7.557848643,,,,,,,,,,,,,,,,,,,,,,,,,,,7.923381096,7.935006719,,,,,7.855907199,7.741084484,7.583017469,,,,7.690752158,,7.994833999,7.701314675,8.389568418,8.3096414,7.986987174,,,7.649071007,,7.904897942,7.702667982,,,,,,8.153168171,7.994989816
345,7.939675527,0.252971546,,,,,,,7.47993428,,,,,,,,,,,,,,,,,,,,,,,,,,,7.874215242,8.038208834,,,,,7.869512126,7.815989835,7.767750759,,,,7.745126035,,8.037850271,7.657452875,8.37708232,8.54982228,7.861643062,,,7.87235604,,8.100923383,7.882985081,,,,,,8.070332384,7.973299156
350,7.894560233,0.221913532,,,,,,,7.480355987,,,,,,,,,,,,,,,,,,,,,,,,,,,7.962952259,7.846188244,,,,,7.73358372,7.965756794,7.949490646,,,,7.635046127,,8.336360562,7.618540122,8.021549436,8.335129771,7.828603895,,,7.837509274,,8.000783097,7.954411778,,,,,,7.85644358,7.844818669
355,7.854771545,0.187291454,,,,,,,7.614055217,,,,,,,,,,,,,,,,,,,,,,,,,,,7.945706861,7.943046949,,,,,7.700123882,7.856992105,,,,,7.60660444,,8.137635771,7.688957291,,8.300663808,7.783348226,,,7.807127307,,7.922253691,7.874280582,,,,,,7.893130638,7.747646409
360,7.823968806,0.208831751,,,,,,,7.585281176,,,,,,,,,,,,,,,,,,,,,,,,,,,8.023231651,7.808826077,,,,,7.541016462,7.71113002,,,,,7.542690265,,8.005887041,7.75241764,,8.25648951,7.735079032,,,7.702267265,,8.003391829,7.94188595,,,,,,8.020624562,7.729313616
365,7.836817927,0.236838374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.841896833,7.71852103,,,,,7.460325885,7.765307195,,,,,7.541375543,,7.975476024,7.827194626,,8.16088358,7.740511154,,,7.828951815,,7.945985438,7.751928603,,,,,,8.403640334,7.753452911
370,7.829684201,0.178540812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.879040275,7.655998303,,,,,7.588411603,7.792116887,,,,,7.539765901,,8.079311705,7.830579735,,7.986887325,7.813904786,,,,,8.027994931,7.693927723,,,,,,8.076937278,7.821018162
375,7.861057721,0.199949755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.910100423,7.991092888,,,,,7.560304479,7.861881028,,,,,7.483394097,,7.92869497,7.962628017,,7.900538298,7.748020584,,,,,8.001243966,7.704515716,,,,,,8.252469499,7.888866412
380,7.864365371,0.16021875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.826043833,7.968989043,,,,,7.739158639,7.675614325,,,,,7.670063982,,7.878481958,7.767903964,,8.114396102,7.940358374,,,,,8.007160974,7.690643185,,,,,,8.093570073,
385,7.898779377,0.180567781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.956908957,7.861519956,,,,,7.820073313,7.822426054,,,,,7.774157184,,7.764614559,7.691301794,,8.249295918,8.033773744,,,,,7.938060131,7.691874218,,,,,,8.18134669,
390,7.886694722,0.219627331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.028992565,7.801729008,,,,,7.74513236,7.76049526,,,,,7.807299677,,7.825256059,7.703045606,,8.332439548,8.064308643,,,,,7.682292962,7.67576693,,,,,,8.213578047,
395,7.942606075,0.276460381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.256977293,7.781496647,,,,,7.752213157,7.985771208,,,,,7.797953236,,8.258032164,7.613376541,,8.387316367,7.986143485,,,,,7.674436492,7.612839743,,,,,,8.204716562,
400,7.944540469,0.256884294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.177059511,7.828507549,,,,,7.842124539,7.82186202,,,,,7.835314682,,8.19269625,7.628515464,,8.461754635,8.031044662,,,,,7.657683916,7.703496973,,,,,,8.154425424,
405,7.905131988,0.204242596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.096770094,7.690646962,,,,,7.714921716,7.764048802,,,,,7.818437407,,8.153176274,7.677954772,,8.292117008,7.953263226,,,,,7.797132384,7.826353777,,,,,,8.076761438,
410,7.936854779,0.206901128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.172071823,7.680999059,,,,,7.583415669,7.860371113,,,,,7.887946856,,8.00533596,7.928012584,,8.391593644,7.969575603,,,,,7.893712579,7.969549991,,,,,,7.899672469,
415,7.952582345,0.201540126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.092699881,,,,,,7.587558149,7.781463314,,,,,7.843969517,,8.045879968,7.919410566,,8.285783255,8.138735183,,,,,7.82561207,8.118770908,,,,,,7.838522984,
420,7.958239673,0.124776224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.992325155,,,,,,7.833689546,7.806047173,,,,,7.896455578,,8.034833789,7.913181323,,8.072766028,7.895179079,,,,,7.921524246,7.925488977,,,,,,8.249145509,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.983039168,,,,,,,7.733215675,,,,,7.830535589,,8.117335495,8.000580043,,8.040878089,8.035860814,,,,,7.861038155,7.981892121,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.092134688,,,,,,,7.687107871,,,,,7.778728487,,7.894108886,7.913209552,,8.235141344,7.936253201,,,,,7.72253475,7.952207207,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.976938764,,,,,,,7.701674766,,,,,7.787169865,,8.338879477,7.922221127,,8.160512543,8.002587647,,,,,7.721439839,7.821311115,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.12505485,,,,,,,,,,,,7.777639124,,8.318049001,7.944670929,,8.225841893,8.006506773,,,,,7.744769061,7.899319524,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.041887452,,,,,,,,,,,,7.799358863,,,7.874037769,,8.212878078,7.922862723,,,,,7.84056274,7.917214345,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.103860779,,,,,,,,,,,,,,8.435945483,7.88141285,,8.198052936,7.931538701,,,,,7.910837135,7.873528753,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.00015789,,,,,,,,,,,,7.83027165,,8.291201124,7.765399089,,,7.8558373,,,,,7.940605317,7.905162783,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.159313227,,,,,,,,,,,,,,8.257754944,7.839862678,,,7.901496319,,,,,7.985760488,7.790137767,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.110098608,,,,,,,,,,,,,,8.195208749,7.75008803,,,7.866356914,,,,,7.941240886,7.772270535,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.038194619,,,,,,,,,,,,,,8.029003929,7.653254299,,,7.766152743,,,,,7.910352597,7.737181659,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04096068,,,,,,,,,,,,7.779114099,,8.03223503,7.602152107,,,7.839547058,,,,,7.738244089,7.69248309,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.035097263,,,,,,,,,,,,7.828309688,,8.061316699,7.607182078,,,8.015365352,,,,,7.745044695,7.788125496,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.11129374,,,,,,,,,,,,,,8.293317951,7.575684399,,,7.973828648,,,,,7.60222634,7.865654215,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.904037832,,,,,,,,,,,,,,8.182803863,7.553980586,,,7.897227106,,,,,7.540654561,7.795578467,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.900145264,,,,,,,,,,,,,,,7.650548275,,,7.884608271,,,,,7.543590375,7.86488078,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.883261302,,,,,,,,,,,,,,,7.748198047,,,,,,,,7.563236203,7.735575702,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.842798771,,,,,,,,,,,,7.761830106,,,7.748387353,,,,,,,,7.636815553,7.790585223,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.999761953,,,,,,,,,,,,7.738461882,,,7.901373378,,,,,,,,7.665795211,7.83666657,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.021060358,,,,,,,,,,,,7.679714545,,,7.779163587,,,,,,,,7.698873309,7.749971176,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.930711967,,,,,,,,,,,,7.725159574,,,7.828398835,,,,,,,,7.747717221,7.747809853,,,,,,,
525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.969564718,,,,,,,,,,,,7.630757266,,,7.687832153,,,,,,,,7.831165181,7.710077734,,,,,,,
530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.974171021,,,,,,,,,,,,7.614140601,,,7.54395809,,,,,,,,7.717047782,7.836444181,,,,,,,
535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.979349618,,,,,,,,,,,,7.535699712,,,,,,,,,,,7.870004696,7.800475201,,,,,,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.67570659,,,,,,,,,,,7.916831092,7.905953921,,,,,,,
545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.812195747,,,,,,,,,,,,7.797873689,,,,,,,
550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.767497479,,,,,,,,,,,,7.793301175,,,,,,,
555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.791128202,,,,,,,,,,,,7.926294754,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.743296037,,,,,,,,,,,,,,,,,,,
565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.738985267,,,,,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.721969989,,,,,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.585464074,,,,,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.582520992,,,,,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.63722055,,,,,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.542770097,,,,,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.599430055,,,,,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.571795668,,,,,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.80970714,,,,,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.844731927,,,,,,,,,,,,,,,,,,,
